up,down,total,up10,down10,ROC
72,15,93,48.7,38.5,55.84862385321101
47,38,93,49.0,38.2,56.19266055045871
40,48,93,48.5,38.7,55.61926605504588
33,58,93,50.0,37.0,57.47126436781609
53,31,94,49.7,37.3,57.1264367816092
29,62,94,44.0,43.2,50.458715596330265
19,71,92,42.2,45.7,48.009101251422074
48,37,91,44.0,43.5,50.285714285714285
29,58,91,45.5,42.2,51.881413911060434
79,10,91,44.9,42.8,51.19726339794755
73,12,91,45.0,42.5,51.42857142857142
88,3,92,49.1,39.0,55.73212258796822
66,20,92,51.7,36.2,58.81683731513083
69,17,92,55.3,32.1,63.27231121281465
67,20,92,56.7,31.0,64.65222348916762
48,36,88,58.6,28.4,67.35632183908046
39,43,88,60.6,25.6,70.30162412993039
42,39,87,60.0,25.8,69.93006993006993
66,17,88,63.7,21.7,74.59016393442623
61,24,88,61.9,23.1,72.82352941176471
10,77,89,55.6,29.6,65.25821596244131
62,22,90,53.0,31.5,62.72189349112426
55,30,89,51.9,32.5,61.492890995260666
61,22,88,51.1,33.0,60.76099881093936
16,69,88,46.0,37.9,54.82717520858164
75,7,88,48.7,35.0,58.183990442054956
82,7,89,53.0,31.4,62.796208530805686
37,49,90,52.5,32.4,61.83745583038869
53,32,90,51.2,33.9,60.16451233842538
66,18,90,51.7,33.3,60.8235294117647
46,37,92,55.3,29.3,65.36643026004728
68,22,92,55.9,29.3,65.61032863849765
41,44,92,54.5,30.7,63.967136150234744
32,59,92,51.6,34.4,60.0
34,54,90,53.4,32.9,61.87717265353419
33,50,90,49.2,37.2,56.944444444444436
57,29,90,46.7,39.4,54.23925667828107
16,73,90,44.6,41.8,51.620370370370374
26,64,90,41.9,45.0,48.21634062140391
68,19,90,42.1,45.1,48.27981651376147
22,65,90,39.7,47.9,45.31963470319635
17,70,90,34.6,52.7,39.63344788087056
12,78,90,31.7,56.1,36.10478359908883
49,35,90,33.4,53.7,38.3467278989667
50,35,89,35.0,51.8,40.32258064516129
88,1,89,40.5,46.9,46.33867276887872
81,6,89,42.9,44.6,49.028571428571425
56,28,89,46.9,40.1,53.90804597701149
52,30,89,49.5,36.7,57.424593967517396
60,26,89,48.7,37.4,56.56213704994193
33,55,89,49.8,36.4,57.77262180974478
34,53,89,51.5,34.7,59.74477958236658
44,37,89,54.7,30.6,64.12661195779602
26,61,89,52.4,33.2,61.21495327102804
75,13,90,54.9,31.0,63.91152502910361
26,63,90,48.7,37.2,56.69383003492433
80,9,90,48.6,37.5,56.44599303135889
28,60,90,45.8,40.7,52.94797687861271
33,53,90,43.9,43.0,50.517836593785965
48,39,89,42.7,44.3,49.08045977011494
38,53,91,43.2,44.1,49.48453608247423
50,35,91,44.8,42.3,51.43513203214695
45,40,90,44.9,42.6,51.31428571428572
68,21,90,49.1,38.6,55.986316989737745
72,16,90,48.8,38.9,55.644241733181296
71,17,90,53.3,34.3,60.84474885844749
53,36,89,50.6,37.0,57.762557077625566
49,37,89,52.7,34.7,60.297482837528605
43,45,90,53.7,33.9,61.301369863013704
40,48,90,52.9,34.8,60.31927023945268
75,11,90,56.6,30.6,64.90825688073394
61,26,90,57.7,29.7,66.01830663615561
81,7,89,61.3,26.4,69.89737742303306
21,69,90,56.6,31.2,64.46469248291572
70,18,90,56.4,31.4,64.2369020501139
9,80,90,50.2,37.7,57.110352673492606
87,4,91,53.6,34.5,60.83995459704881
61,30,92,54.8,33.8,61.8510158013544
47,43,92,55.2,33.6,62.16216216216216
49,38,92,56.1,32.6,63.246899661781285
41,50,92,52.7,36.5,59.08071748878924
37,55,93,50.3,39.4,56.07580824972129
37,51,92,45.9,43.8,51.17056856187291
44,47,92,48.2,41.6,53.67483296213808
25,66,92,43.7,46.4,48.50166481687015
21,68,89,44.9,45.2,49.83351831298557
54,34,90,41.6,48.2,46.32516703786192
75,13,90,43.0,46.5,48.04469273743017
76,14,91,45.9,43.6,51.28491620111731
31,58,91,44.1,45.6,49.163879598662206
19,71,91,41.9,47.7,46.763392857142854
71,15,91,45.3,43.7,50.89887640449438
77,12,90,49.3,39.8,55.331088664422005
54,35,90,50.3,38.6,56.58042744656918
36,51,90,51.4,37.1,58.07909604519774
21,68,90,51.4,37.1,58.07909604519774
15,72,90,47.5,40.9,53.73303167420814
18,71,90,41.8,46.7,47.23163841807909
60,27,90,40.2,48.0,45.578231292517
29,59,90,40.0,48.1,45.40295119182747
80,8,91,46.1,41.8,52.44596131968146
54,31,92,44.4,43.4,50.56947608200456
6,86,92,37.3,50.8,42.33825198637911
88,4,93,40.7,47.7,46.04072398190045
89,1,91,46.0,42.7,51.860202931228855
70,17,91,50.9,37.6,57.51412429378531
29,59,91,52.3,36.3,59.0293453724605
81,9,91,58.6,30.1,66.06538895152198
40,49,91,56.6,32.3,63.66704161979753
26,62,91,56.3,32.6,63.32958380202475
24,67,91,50.7,38.5,56.838565022421534
17,70,91,47.0,42.4,52.572706935123044
20,70,91,48.4,40.8,54.26008968609866
80,10,91,47.6,41.4,53.483146067415724
30,60,91,41.7,47.3,46.853932584269664
24,63,91,37.1,51.9,41.68539325842697
11,80,91,35.3,54.0,39.52967525195969
45,41,91,31.7,57.2,35.65804274465691
75,15,91,35.2,53.8,39.55056179775281
65,23,91,39.1,49.9,43.93258426966292
64,28,92,43.1,46.0,48.372615039281705
82,8,92,49.6,39.8,55.48098434004474
77,14,91,55.3,34.2,61.7877094972067
64,25,92,53.7,35.7,60.06711409395973
44,45,92,55.1,34.2,61.702127659574465
78,13,92,60.5,29.2,67.44704570791527
54,35,92,64.8,24.7,72.40223463687151
67,22,92,67.0,22.8,74.61024498886414
24,67,92,61.9,28.0,68.85428253615129
62,26,92,61.6,28.3,68.52057842046719
32,60,92,58.4,31.5,64.96106785317019
38,50,91,54.0,35.7,60.20066889632107
75,15,93,53.8,35.8,60.044642857142854
54,34,94,52.8,36.7,58.99441340782123
38,53,94,52.2,37.5,58.19397993311038
58,34,92,50.2,39.6,55.902004454342986
67,24,91,51.5,38.5,57.22222222222222
88,2,90,53.6,36.5,59.489456159822424
70,15,90,58.2,31.3,65.02793296089385
76,14,90,59.6,30.1,66.44370122630993
45,44,91,60.9,28.5,68.12080536912751
52,35,91,62.3,27.0,69.76483762597985
84,6,90,63.2,26.1,70.77267637178052
37,53,90,61.5,28.0,68.71508379888269
37,52,90,61.4,27.9,68.75699888017917
41,48,90,59.7,29.3,67.07865168539325
