up,down,total,up10,down10,ROC
50,41,94,54.3,36.0,60.1328903654485
43,45,94,53.3,37.0,59.02547065337763
38,49,95,51.6,38.7,57.14285714285714
38,53,95,52.4,37.9,58.02879291251384
21,73,95,47.0,43.4,51.99115044247788
43,39,94,44.8,45.4,49.667405764966745
34,53,93,46.0,43.8,51.224944320712694
23,69,93,47.2,42.7,52.5027808676307
43,38,93,42.7,46.0,48.13979706877114
47,38,93,38.0,49.8,43.28018223234625
44,43,93,37.4,50.0,42.79176201372998
51,35,93,38.2,49.0,43.80733944954129
15,76,94,35.9,51.7,40.981735159817354
48,41,94,36.9,50.5,42.21967963386728
54,32,94,40.2,46.4,46.4203233256351
74,18,94,43.3,44.3,49.42922374429224
42,43,94,44.1,43.3,50.45766590389017
49,37,94,46.7,40.1,53.80184331797234
14,77,94,43.8,44.0,49.88610478359909
6,86,94,39.7,48.8,44.85875706214689
55,33,94,40.8,47.8,46.04966139954853
25,60,93,38.2,50.3,43.16384180790961
79,10,93,44.6,43.7,50.50962627406569
36,54,93,43.4,45.0,49.09502262443439
54,35,93,43.4,45.3,48.92897406989854
66,20,93,42.6,45.5,48.35414301929625
35,49,93,41.9,46.1,47.61363636363636
9,83,93,37.9,50.7,42.776523702031604
73,13,92,43.8,44.3,49.716231555051074
33,57,93,46.5,41.4,52.901023890784984
52,32,94,46.2,41.3,52.800000000000004
60,24,94,49.7,37.7,56.8649885583524
82,12,95,50.0,37.9,56.882821387940844
69,18,96,53.3,34.3,60.84474885844749
23,68,96,50.2,37.6,57.17539863325741
46,42,95,48.2,39.8,54.77272727272728
41,50,95,48.8,39.9,55.016910935738444
19,73,95,49.8,38.9,56.14430665163472
92,3,95,51.7,37.9,57.700892857142854
37,50,95,52.1,37.2,58.34266517357223
31,59,96,50.0,39.9,55.61735261401557
36,54,96,47.6,42.9,52.59668508287293
85,8,96,47.9,42.5,52.98672566371681
37,51,96,44.7,45.8,49.39226519337017
25,69,96,44.9,45.9,49.44933920704845
36,52,96,43.9,46.9,48.348017621145374
26,66,96,42.4,48.5,46.64466446644664
31,55,96,43.6,46.7,48.28349944629014
82,10,96,42.6,47.4,47.33333333333333
13,76,96,40.2,50.0,44.567627494456765
73,16,95,44.4,45.7,49.27857935627081
25,64,95,43.3,46.7,48.11111111111111
50,38,95,39.8,49.7,44.46927374301676
61,28,96,42.2,47.4,47.098214285714285
15,78,96,41.2,48.3,46.03351955307262
92,3,96,46.8,43.4,51.88470066518847
70,20,96,51.2,38.8,56.88888888888889
59,32,96,54.0,36.5,59.66850828729281
49,44,96,50.7,39.9,55.96026490066225
45,45,96,53.9,36.8,59.42668136714443
41,46,95,50.7,39.8,56.022099447513824
26,61,95,50.8,39.5,56.25692137320044
58,28,95,51.6,38.5,57.269700332963374
74,17,95,52.9,37.4,58.58250276854928
24,65,95,53.8,36.1,59.84427141268075
38,52,95,48.4,41.0,54.13870246085011
56,37,94,47.0,42.7,52.396878483835
56,36,95,46.7,43.1,52.00445434298442
38,53,94,45.6,44.0,50.89285714285714
20,71,95,43.1,46.6,48.04905239687848
64,28,94,45.4,44.8,50.33259423503326
12,79,94,44.0,46.6,48.565121412803535
19,71,94,40.1,50.9,44.065934065934066
44,43,94,37.1,53.5,40.94922737306843
78,12,94,42.5,48.2,46.85777287761852
24,71,96,41.1,50.1,45.06578947368421
51,44,96,40.6,50.8,44.42013129102845
10,86,97,36.0,55.8,39.2156862745098
58,36,97,38.0,54.1,41.25950054288816
33,60,97,39.3,53.0,42.57854821235103
58,32,97,38.7,53.4,42.019543973941374
57,32,97,43.2,48.7,47.0076169749728
51,43,97,46.4,45.9,50.27085590465873
27,65,97,44.7,48.1,48.168103448275865
87,8,97,45.6,47.7,48.87459807073955
39,53,96,47.1,45.9,50.64516129032258
17,75,96,43.7,49.0,47.14131607335491
58,35,96,48.5,43.9,52.48917748917749
38,52,96,46.5,45.5,50.54347826086956
30,60,96,46.2,45.5,50.38167938931298
34,55,97,43.8,47.8,47.81659388646288
59,30,97,44.0,47.6,48.034934497816586
